"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Primary scenarios","RUN_001","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
"Primary scenarios","RUN_002","Middle-income","annual_independent",0.95,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,393.684210526316,19.6842105263158,606.315789473684,626,7480,7873.68421052632,393.684210526316,12520,2388435.26414045,2380903.44051917,1768512.07689899,3050410.62525615,1,47768705.2828091,47618068.8103833,35370241.5379797,61008212.505123,9518.32975908012,9525.95076203495,7544.62351325604,11421.1107392514,1,15863.8829318002,15876.5846033916,12574.3725220934,19035.184565419,0.119582861398382,0.35,0.591006895018954
"Primary scenarios","RUN_003","Low-income","annual_independent",0.95,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,225.263157894737,11.2631578947369,774.736842105263,786,4280,4505.26315789474,225.263157894737,15720,681806.831622818,680339.202397756,498044.353030504,877527.297793471,1,13636136.6324564,13606784.0479551,9960887.06061008,17550545.9558694,7566.86666895075,7560.19455138103,5915.19872410319,9254.32774613496,1,12611.4444482512,12600.3242523017,9858.66454017198,15423.8795768916,0.0749518089481767,0.2,0.33577223804673
