"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Final_Mediation_Resolution_Share","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Year","Mediation_Resolution_Share","Mediation_Resolved_Per_100_Cases","Mediation_Attempts_Per_100_Cases","Failed_Attempts_To_Trial_Per_100_Cases","Direct_To_Trial_Per_100_Cases","Trial_Resolved_Per_100_Cases","Mean_NPV_Savings_Per_100_Cases_USD","LB95_NPV_Savings_Per_100_Cases_USD","UB95_NPV_Savings_Per_100_Cases_USD","Mean_Months_Saved_Per_100_Cases","LB95_Months_Saved_Per_100_Cases","UB95_Months_Saved_Per_100_Cases","Mean_NPV_Savings_2000_Cases_USD","LB95_NPV_Savings_2000_Cases_USD","UB95_NPV_Savings_2000_Cases_USD","Mean_Years_Saved_2000_Cases","LB95_Years_Saved_2000_Cases","UB95_Years_Saved_2000_Cases"
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,3,0.183990807433038,18,18.9473684210526,0.947368421052634,81.0526315789474,82,138327.043378239,44710.6295352385,255026.063626642,459.897210740104,202.729874044021,718.262133968326,2766540.86756479,894212.59070477,5100521.27253284,766.495351233507,337.883123406702,1197.10355661388
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,4,0.255012759436194,26,27.3684210526316,1.36842105263158,72.6315789473684,74,190291.17078488,61506.6861331323,350829.505518132,664.29597106904,292.832040285808,1037.48974906536,3805823.4156976,1230133.72266265,7016590.11036264,1107.15995178173,488.053400476347,1729.1495817756
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,5,0.35,35,36.8421052631579,1.8421052631579,63.1578947368421,65,243963.039467795,78854.7258117081,449781.417330938,894.244576439089,394.196977307819,1396.62081604952,4879260.78935589,1577094.51623416,8995628.34661877,1490.40762739848,656.994962179698,2327.70136008254
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,6,0.444987240563806,44,46.3157894736842,2.31578947368421,53.6842105263158,56,292091.802355999,94411.1002915688,538513.80578398,1124.19318180914,495.561914329829,1755.75188303369,5841836.04711998,1888222.00583138,10770276.1156796,1873.65530301524,825.936523883049,2926.25313838948
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,7,0.516009192566962,52,54.7368421052632,2.73684210526316,45.2631578947368,48,328761.335985108,106263.576085748,606119.435081537,1328.59194213808,585.664080571616,2074.97949813072,6575226.71970217,2125271.52171497,12122388.7016307,2214.31990356346,976.106800952694,3458.2991635512
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,8,0.558413651753039,56,58.9473684210526,2.94736842105264,41.0526315789474,44,337191.113830878,108988.28316487,621660.959057986,1430.79132230254,630.71516369251,2234.59330567924,6743822.27661757,2179765.6632974,12433219.1811597,2384.65220383757,1051.19193948752,3724.32217613206
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,9,0.580417138601618,58,61.0526315789474,3.05263157894737,38.9473684210526,42,332603.479629098,107505.449380314,613202.986825905,1481.89101238477,653.240705252956,2314.4002094535,6652069.59258195,2150108.98760628,12264059.7365181,2469.81835397461,1088.73450875493,3857.3336824225
"Conditional-success sensitivity","RUN_017","Middle-income","fixed_horizon",0.95,0.05,0.6,1,1,10,0.591006895018954,59,62.1052631578947,3.10526315789474,37.8947368421053,41,322226.687982213,104151.420581914,594071.859158101,1507.4408574259,664.50347603318,2354.30366134063,6444533.75964426,2083028.41163827,11881437.183162,2512.40142904317,1107.50579338863,3923.83943556771
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,1,0.0749518089481767,7,7.36842105263158,0.36842105263158,92.6315789473684,93,29481.9420503597,7879.09811991006,55335.6857073771,248.429094369565,110.122266353555,413.234558542778,589638.841007193,157581.962398201,1106713.71414754,414.048490615942,183.537110589258,688.724264237963
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,2,0.0925553194701463,9,9.47368421052632,0.473684210526317,90.5263157894737,91,36100.3372045223,9647.87524886946,67757.9824988292,319.408835618013,141.585771025999,531.301575269286,722006.744090446,192957.504977389,1355159.64997658,532.348059363354,235.976285043331,885.50262544881
