"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Resolution-ceiling sensitivity","RUN_064","High-income","fixed_horizon",0.95,0.05,0.15,0.6,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",398,418.947368421053,20.9473684210526,581.052631578947,602,7960,8378.94736842105,418.947368421053,12040,4786904.65681279,4540487.76373715,1204960.97926566,9303134.62446454,0.9999,95738093.1362559,90809755.2747429,24099219.5853132,186062692.489291,6598.43775407306,6452.65526394577,2140.26409776436,11584.0560870927,1,10997.3962567884,10754.4254399096,3567.10682960726,19306.7601451544,0.158093794482941,0.375,0.596988217084072
"Resolution-ceiling sensitivity","RUN_065","High-income","annual_independent",0.95,0.05,0.15,0.6,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",398,418.947368421053,20.9473684210526,581.052631578947,602,7960,8378.94736842105,418.947368421053,12040,4760566.60762682,4744319.10723592,3407288.26062565,6212047.53706309,1,95211332.1525365,94886382.1447183,68145765.2125129,124240950.741262,6568.86270899977,6562.01406196407,4869.3656776897,8252.56070693271,1,10948.1045149996,10936.6901032735,8115.60946281617,13754.2678448879,0.158093794482941,0.375,0.596988217084072
"Resolution-ceiling sensitivity","RUN_066","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Resolution-ceiling sensitivity","RUN_067","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
