"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Illustrative paired case-mix sensitivity","RUN_068","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,0.5,0.5,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,2259518.27932178,2133301.86336832,5058.83555485717,5037906.98296185,0.9754,45190365.5864356,42666037.2673663,101176.711097143,100758139.659237,3138.2359999788,3067.70771658716,285.477584188235,6287.2130395539,0.9875,5230.393333298,5112.84619431194,475.795973647058,10478.6883992565,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_069","High-income","annual_independent",0.95,0.05,0.15,0.75,1,0.5,0.5,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,2243643.40938235,2232141.47890128,1394301.87808892,3165770.40573097,1,44872868.1876469,44642829.5780256,27886037.5617784,63315408.1146194,3117.82532355455,3116.97747183496,2027.12159314763,4193.82875221667,1,5196.37553925759,5194.96245305826,3378.53598857938,6989.71458702779,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_070","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,0.75,0.75,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,3997105.1212465,3786879.56766404,751300.612559307,8086531.36764846,0.9982,79942102.4249301,75737591.3532808,15026012.2511861,161730627.352969,5548.07543963145,5424.46542977484,1443.08306620662,10120.6781848811,0.9998,9246.79239938575,9040.77571629141,2405.1384436777,16867.7969748019,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_071","High-income","annual_independent",0.95,0.05,0.15,0.75,1,0.75,0.75,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,3973730.16353289,3958275.83422346,2728498.91149145,5313065.38439596,1,79474603.2706578,79165516.6844693,54569978.229829,106261307.687919,5520.05364621398,5519.95643710164,3937.16770995048,7085.74153858977,1,9200.08941035664,9199.9273951694,6561.94618325081,11809.5692309829,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_072","High-income","fixed_horizon",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5734691.96317123,5439485.54532471,1443538.26514911,11145116.7692023,0.9999,114693839.263425,108789710.906494,28870765.3029821,222902335.384046,7957.91487928409,7782.09680073862,2581.22303247963,13970.7209090565,1,13263.1914654735,12970.1613345644,4302.03838746605,23284.5348484274,0.160791725977255,0.45,0.745984289445429
"Illustrative paired case-mix sensitivity","RUN_073","High-income","annual_independent",0.95,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,505.263157894737,25.2631578947369,494.736842105263,520,9600,10105.2631578947,505.263157894737,10400,5703816.91768343,5682154.06000756,4057738.78630905,7467838.76809793,1,114076338.353669,113643081.200151,81154775.7261809,149356775.361959,7922.28196887342,7918.1922418388,5839.53297280317,9996.4396957723,1,13203.8032814557,13196.9870697313,9732.55495467195,16660.7328262872,0.160791725977255,0.45,0.745984289445429
